acceptedTaxonKey,accepetedTaxonName,TropicosNameID,FullNameWithAuthors,taxonRank,id_name_APD,taxonid_IUCN,redlistCategory,redlistCriteria,yearPublished,EOO,AOO,elevation_upper,elevation_lower,assessmentDate,assessor,reviewer,populationTrend
90,Afraegle paniculata,50070443,Afraegle paniculata (Schumach. & Thonn.) Engl.,Species,90357,,,,,,,,,,,,
128,Afrostyrax kamerunensis,30800117,Afrostyrax kamerunensis Perkins & Gilg,Species,48783,116858214,LC,,2022,1070287,604,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
129,Afrostyrax lepidophyllus,30800137,Afrostyrax lepidophyllus Mildbr.,Species,48784,32192,LC,,2022,2701543,1212,NA,NA,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
130,Afrostyrax macranthus,50329531,Afrostyrax macranthus Mildbr.,Species,48785,,,,,,,,,,,,
136,Afrotrewia kamerunica,50239584,Afrotrewia kamerunica Pax & K. Hoffm.,Species,107962,110081019,EN,"B2ab(i,ii,iii)",2020,24154,24,280,10,27/01/2020,"Cheek, M. & Lovell, R.","Onana, J.-M.",Unknown
138,Afzelia bella,13050652,Afzelia bella Harms,Species,177078,60757654,LC,NA,2019,5014355,NA,800,0,30/01/2019,"Hills, R.","Onana, J.-M.",Stable
139,Afzelia bella var. bella,13072260,Afzelia bella var. bella ,Variety,,,,,,,,,,,,,
140,Afzelia bipindensis,13050653,Afzelia bipindensis Harms,Species,68435,33033,VU,A1cd,1998,NA,NA,NA,NA,01/01/1998,"African Regional Workshop (Conservation & Sustainable Management of Trees, Zimbabwe, July 1996)",0,NA
141,Afzelia pachyloba,13050655,Afzelia pachyloba Harms,Species,68436,33034,VU,A1d,1998,NA,NA,NA,NA,01/01/1998,"African Regional Workshop (Conservation & Sustainable Management of Trees, Zimbabwe, July 1996)",0,NA
162,Aidia micrantha,27908846,Aidia micrantha (K. Schum.) Bullock ex F. White,Species,177574,153945337,LC,NA,2020,5905713.04,2168.00,NA,NA,12/06/2018,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Timberlake, J.R.",Stable
163,Aidia micrantha var. congolana,27910028,Aidia micrantha var. congolana (De Wild. & T. Durand) E.M.A. Petit,Variety,,,,,,,,,,,,,
164,Aidia micrantha var. micrantha,50046251,Aidia micrantha var. micrantha ,Variety,,,,,,,,,,,,,
165,Aidia micrantha var. zenkeri,50046250,Aidia micrantha var. zenkeri (S. Moore) E.M.A. Petit,Variety,,,,,,,,,,,,,
166,Aidia ochroleuca,50046256,Aidia ochroleuca (K. Schum.) E.M.A. Petit,Species,88443,143710430,LC,NA,2019,1594670.43,204.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Timberlake, J.R.",Stable
185,Albizia adianthifolia,13054859,Albizia adianthifolia (Schumach.) W. Wight,Species,,19892474,LC,NA,2012,12000000,NA,1700,0,30/09/2009,"Contu, S.","Hilton-Taylor, C.",Stable
186,Albizia adianthifolia var. adianthifolia,50054145,,Variety,,,,,,,,,,,,,
187,Albizia adianthifolia var. intermedia,50054144,,Variety,,,,,,,,,,,,,
189,Albizia ferruginea,13025029,Albizia ferruginea (Guill. & Perr.) Benth.,Species,62326,33035,NT,NA,2021,5580703,NA,1220,0,30/01/2020,"Hills, R. & Doucet, J.","StÈvart, T. & van der Burgt, X.",Decreasing
190,Albizia glaberrima,13025034,Albizia glaberrima (Schumach. & Thonn.) Benth.,Species,,144276798,LC,NA,2019,10674583.28,852.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
191,Albizia laurentii,13054855,Albizia laurentii De Wild.,Species,62333,204797901,LC,,2022,400476,116,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
193,Albizia zygia,13054896,Albizia zygia (DC.) J.F. Macbr.,Species,62343,60758247,LC,NA,2019,8431446,NA,1400,NA,04/02/2019,"Hills, R.","Onana, J.-M.",Decreasing
197,Alchornea glabrata,12802950,Alchornea glabrata (Müll. Arg.) Prain,Species,,,,,,,,,,,,,
198,Alchornea hirtella,12802948,Alchornea hirtella Benth.,Species,,146448511,LC,NA,2020,11503061.74,780.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"von Staden, L. & Hilton-Taylor, C.",Stable
205,Allanblackia floribunda,7801289,Allanblackia floribunda Oliv.,Species,8128,68044590,LC,NA,2018,2901343.48,448.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Vroh, B.",Stable
206,Allanblackia gabonensis,50331493,Allanblackia gabonensis (Pellegr.) Bamps,Species,8129,45460,VU,A2c,2004,NA,NA,NA,NA,30/04/2004,"Cheek, M.","Hilton-Taylor, C. & Pollock, C.M. (Red List Programme Office)",Decreasing
